REGION,TIMESLICE,FUEL,YEAR,VALUE
"REGION1","S03B1","SEE2",2032,40.7285538297
"REGION1","S03B1","SEE2",2033,40.9455281829
"REGION1","S03B1","SEE2",2034,41.1625801378
"REGION1","S03B1","SEE2",2035,41.3796320927
"REGION1","S03B1","SEE2",2036,41.6310616007
"REGION1","S03B1","SEE2",2037,41.8825687104
"REGION1","S03B1","SEE2",2038,42.1340758201
"REGION1","S03B1","SEE2",2039,42.3855053281
"REGION1","S03B1","SEE2",2040,42.6370124378
"REGION1","S03B1","SEE2",2041,43.0268833786
"REGION1","S03B1","SEE2",2042,43.4167543194
"REGION1","S03B1","SEE2",2043,43.8066252602
"REGION1","S03B1","SEE2",2044,44.196496201
"REGION1","S03B1","SEE2",2045,44.5864447435
"REGION1","S03B1","SEE2",2046,44.9327811306
"REGION1","S03B1","SEE2",2047,45.2791175177
"REGION1","S03B1","SEE2",2048,45.6254539048
"REGION1","S03B1","SEE2",2049,45.9717902919
"REGION1","S03B1","SEE2",2050,46.318126679
"REGION1","S03B1","SEE2",2051,46.5034395386
"REGION1","S03B1","SEE2",2052,46.6894508135
"REGION1","S03B1","SEE2",2053,46.8761605037
"REGION1","S03B1","SEE2",2054,47.0637238126
"REGION1","S03B1","SEE2",2055,47.2519079351
"REGION1","S03B1","SEE2",2056,47.393686241
"REGION1","S03B1","SEE2",2057,47.5358525554
"REGION1","S03B1","SEE2",2058,47.67848448
"REGION1","S03B1","SEE2",2059,47.8215044131
"REGION1","S03B1","SEE2",2060,47.9649899564
"REGION1","S03B2","SEE2",2015,141.931552012
"REGION1","S03B2","SEE2",2016,143.332488636
"REGION1","S03B2","SEE2",2017,144.733730608
"REGION1","S03B2","SEE2",2018,146.13497258
"REGION1","S03B2","SEE2",2019,147.535909204
"REGION1","S03B2","SEE2",2020,148.937151176
"REGION1","S03B2","SEE2",2021,149.819301548
"REGION1","S03B2","SEE2",2022,150.70145192
"REGION1","S03B2","SEE2",2023,151.583602292
"REGION1","S03B2","SEE2",2024,152.465752664
"REGION1","S03B2","SEE2",2025,153.347903036
"REGION1","S03B2","SEE2",2026,154.38852902
"REGION1","S03B2","SEE2",2027,155.429155004
"REGION1","S03B2","SEE2",2028,156.469780988
"REGION1","S03B2","SEE2",2029,157.510406972
"REGION1","S03B2","SEE2",2030,158.551032956
"REGION1","S03B2","SEE2",2031,159.405091312
"REGION1","S03B2","SEE2",2032,160.259149668
"REGION1","S03B2","SEE2",2033,161.112902676
"REGION1","S03B2","SEE2",2034,161.966961032
"REGION1","S03B2","SEE2",2035,162.821019388
"REGION1","S03B2","SEE2",2036,163.810346908
"REGION1","S03B2","SEE2",2037,164.799979776
"REGION1","S03B2","SEE2",2038,165.789612644
"REGION1","S03B2","SEE2",2039,166.778940164
"REGION1","S03B2","SEE2",2040,167.768573032
"REGION1","S03B2","SEE2",2041,169.302641384
"REGION1","S03B2","SEE2",2042,170.836709736
"REGION1","S03B2","SEE2",2043,172.370778088
"REGION1","S03B2","SEE2",2044,173.90484644
"REGION1","S03B2","SEE2",2045,175.43922014
"REGION1","S03B2","SEE2",2046,176.801988264
"REGION1","S03B2","SEE2",2047,178.164756388
"REGION1","S03B2","SEE2",2048,179.527524512
"REGION1","S03B2","SEE2",2049,180.890292636
"REGION1","S03B2","SEE2",2050,182.25306076
"REGION1","S03B2","SEE2",2051,182.982231784
"REGION1","S03B2","SEE2",2052,183.71415094
"REGION1","S03B2","SEE2",2053,184.448818228
"REGION1","S03B2","SEE2",2054,185.186844344
"REGION1","S03B2","SEE2",2055,185.927313244
"REGION1","S03B2","SEE2",2056,186.48518404
"REGION1","S03B2","SEE2",2057,187.044581576
"REGION1","S03B2","SEE2",2058,187.6058112
"REGION1","S03B2","SEE2",2059,188.168567564
"REGION1","S03B2","SEE2",2060,188.733156016
"REGION1","S03B3","SEE2",2015,24.5785131544
"REGION1","S03B3","SEE2",2016,24.8211155832
"REGION1","S03B3","SEE2",2017,25.0637708896
"REGION1","S03B3","SEE2",2018,25.306426196
"REGION1","S03B3","SEE2",2019,25.5490286248
"REGION1","S03B3","SEE2",2020,25.7916839312
"REGION1","S03B3","SEE2",2021,25.9444473176
"REGION1","S03B3","SEE2",2022,26.097210704
"REGION1","S03B3","SEE2",2023,26.2499740904
"REGION1","S03B3","SEE2",2024,26.4027374768
"REGION1","S03B3","SEE2",2025,26.5555008632
"REGION1","S03B3","SEE2",2026,26.735707724
"REGION1","S03B3","SEE2",2027,26.9159145848
"REGION1","S03B3","SEE2",2028,27.0961214456
"REGION1","S03B3","SEE2",2029,27.2763283064
"REGION1","S03B3","SEE2",2030,27.4565351672
"REGION1","S03B3","SEE2",2031,27.6044338144
"REGION1","S03B3","SEE2",2032,27.7523324616
"REGION1","S03B3","SEE2",2033,27.9001782312
"REGION1","S03B3","SEE2",2034,28.0480768784
"REGION1","S03B3","SEE2",2035,28.1959755256
"REGION1","S03B3","SEE2",2036,28.3672989496
"REGION1","S03B3","SEE2",2037,28.5386752512
"REGION1","S03B3","SEE2",2038,28.7100515528
"REGION1","S03B3","SEE2",2039,28.8813749768
"REGION1","S03B3","SEE2",2040,29.0527512784
"REGION1","S03B3","SEE2",2041,29.3184083408
"REGION1","S03B3","SEE2",2042,29.5840654032
"REGION1","S03B3","SEE2",2043,29.8497224656
"REGION1","S03B3","SEE2",2044,30.115379528
"REGION1","S03B3","SEE2",2045,30.381089468
"REGION1","S03B3","SEE2",2046,30.6170821968
"REGION1","S03B3","SEE2",2047,30.8530749256
"REGION1","S03B3","SEE2",2048,31.0890676544
"REGION1","S03B3","SEE2",2049,31.3250603832
"REGION1","S03B3","SEE2",2050,31.561053112
"REGION1","S03B3","SEE2",2051,31.6873248208
"REGION1","S03B3","SEE2",2052,31.814072428
"REGION1","S03B3","SEE2",2053,31.9412959336
"REGION1","S03B3","SEE2",2054,32.0691010928
"REGION1","S03B3","SEE2",2055,32.1973292728
"REGION1","S03B3","SEE2",2056,32.293936648
"REGION1","S03B3","SEE2",2057,32.3908084112
"REGION1","S03B3","SEE2",2058,32.48799744
"REGION1","S03B3","SEE2",2059,32.5854508568
"REGION1","S03B3","SEE2",2060,32.6832215392
"REGION1","S04B1","SEE2",2015,11.450351246
"REGION1","S04B1","SEE2",2016,11.563372038
"REGION1","S04B1","SEE2",2017,11.676417464
"REGION1","S04B1","SEE2",2018,11.78946289
"REGION1","S04B1","SEE2",2019,11.902483682
"REGION1","S04B1","SEE2",2020,12.015529108
"REGION1","S04B1","SEE2",2021,12.086696734
"REGION1","S04B1","SEE2",2022,12.15786436
"REGION1","S04B1","SEE2",2023,12.229031986
"REGION1","S04B1","SEE2",2024,12.300199612
"REGION1","S04B1","SEE2",2025,12.371367238
"REGION1","S04B1","SEE2",2026,12.45531991
"REGION1","S04B1","SEE2",2027,12.539272582
"REGION1","S04B1","SEE2",2028,12.623225254
"REGION1","S04B1","SEE2",2029,12.707177926
"REGION1","S04B1","SEE2",2030,12.791130598
"REGION1","S04B1","SEE2",2031,12.860031896
"REGION1","S04B1","SEE2",2032,12.928933194
"REGION1","S04B1","SEE2",2033,12.997809858
"REGION1","S04B1","SEE2",2034,13.066711156
"REGION1","S04B1","SEE2",2035,13.135612454
"REGION1","S04B1","SEE2",2036,13.215426614
"REGION1","S04B1","SEE2",2037,13.295265408
"REGION1","S04B1","SEE2",2038,13.375104202
"REGION1","S04B1","SEE2",2039,13.454918362
"REGION1","S04B1","SEE2",2040,13.534757156
"REGION1","S04B1","SEE2",2041,13.658518372
"REGION1","S04B1","SEE2",2042,13.782279588
"REGION1","S04B1","SEE2",2043,13.906040804
"REGION1","S04B1","SEE2",2044,14.02980202
"REGION1","S04B1","SEE2",2045,14.15358787
"REGION1","S04B1","SEE2",2046,14.263529412
"REGION1","S04B1","SEE2",2047,14.373470954
"REGION1","S04B1","SEE2",2048,14.483412496
